File,Description,Amount
"14_Sep_2025_-_13_Oct_2025.pdf","Toolstation Southampton West Bitterne",23.77
"14_Sep_2025_-_13_Oct_2025.pdf","Toolstation Southampton West Bitterne",56.21
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 3248 3248TE SOUTHAMPTON",13.05
"14_Sep_2025_-_13_Oct_2025.pdf","JD Wetherspoons PLC     Watford,",10.39
"14_Sep_2025_-_13_Oct_2025.pdf","IKEA LTD 125 SOUTHAMPTO SOUTHAMPTON GOODS",199
"14_Sep_2025_-_13_Oct_2025.pdf","IKEA LTD 125 SOUTHAMPTO SOUTHAMPTON GOODS",368
"14_Sep_2025_-_13_Oct_2025.pdf","B & M RETAIL LTD        BASINGSTOKE",-90
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 6795 6795TE EASTLEIGH",9.52
"14_Sep_2025_-_13_Oct_2025.pdf","IKEA UK                 IKEA",54
"14_Sep_2025_-_13_Oct_2025.pdf","TESCO STORE 2452 2452TE EASTLEIGH",11.48
"14_Sep_2025_-_13_Oct_2025.pdf","POUNDLAND LTD - 2143    SOUTHAMPTON",2
"14_Sep_2025_-_13_Oct_2025.pdf","CKO*TEMU 626864         LONDON",35.96
"14_Sep_2025_-_13_Oct_2025.pdf","LEBARA MOBILE LIMITED   LONDON",10
"14_Sep_2025_-_13_Oct_2025.pdf","CKO*TEMU 626864         LONDON",-9.69
"14_Sep_2025_-_13_Oct_2025.pdf","TEMU.COM TEMU.COM       LONDON",18.09
"14_Sep_2025_-_13_Oct_2025.pdf","TAZZA TAKEAWAY LIMITED  SOUTHAMPTON",15.5
"14_Sep_2025_-_13_Oct_2025.pdf","3CPAYMENT*TIMPSONEASTLE EASTLEIGH",30
